film_id;title;description;release_year;language_id;rental_duration;rental_rate;length;replacement_cost;rating;last_update;special_features;fulltext
133;Chamber Italian;A Fateful Reflection of a Moose And a Husband who must Overcome a Monkey in Nigeria;2006;1;7;4.99;117;14.99;NC-17;2013-05-26 14:50:58.951;{Trailers};'chamber':1 'fate':4 'husband':11 'italian':2 'monkey':16 'moos':8 'must':13 'nigeria':18 'overcom':14 'reflect':5
384;Grosse Wonderful;A Epic Drama of a Cat And a Explorer who must Redeem a Moose in Australia;2006;1;5;4.99;49;19.99;R;2013-05-26 14:50:58.951;"{""Behind the Scenes""}";'australia':18 'cat':8 'drama':5 'epic':4 'explor':11 'gross':1 'moos':16 'must':13 'redeem':14 'wonder':2
8;Airport Pollock;A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India;2006;1;6;4.99;54;15.99;R;2013-05-26 14:50:58.951;{Trailers};'airport':1 'ancient':18 'confront':14 'epic':4 'girl':11 'india':19 'monkey':16 'moos':8 'must':13 'pollock':2 'tale':5
98;Bright Encounters;A Fateful Yarn of a Lumberjack And a Feminist who must Conquer a Student in A Jet Boat;2006;1;4;4.99;73;12.99;PG-13;2013-05-26 14:50:58.951;{Trailers};'boat':20 'bright':1 'conquer':14 'encount':2 'fate':4 'feminist':11 'jet':19 'lumberjack':8 'must':13 'student':16 'yarn':5
2;Ace Goldfinger;A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China;2006;1;3;4.99;48;12.99;G;2013-05-26 14:50:58.951;"{Trailers,""Deleted Scenes""}";'ace':1 'administr':9 'ancient':19 'astound':4 'car':17 'china':20 'databas':8 'epistl':5 'explor':12 'find':15 'goldfing':2 'must':14
7;Airplane Sierra;A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat;2006;1;6;4.99;62;28.99;PG-13;2013-05-26 14:50:58.951;"{Trailers,""Deleted Scenes""}";'airplan':1 'boat':20 'butler':11,16 'discov':14 'hunter':8 'jet':19 'must':13 'saga':5 'sierra':2 'touch':4
10;Aladdin Calendar;A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China;2006;1;6;4.99;63;24.99;NC-17;2013-05-26 14:50:58.951;"{Trailers,""Deleted Scenes""}";'action':5 'action-pack':4 'aladdin':1 'ancient':20 'calendar':2 'china':21 'feminist':18 'lumberjack':13 'man':10 'must':15 'pack':6 'reach':16 'tale':7
13;Ali Forever;A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies;2006;1;4;4.99;150;21.99;PG;2013-05-26 14:50:58.951;"{""Deleted Scenes"",""Behind the Scenes""}";'action':5 'action-pack':4 'ali':1 'battl':16 'canadian':21 'crocodil':13 'dentist':10 'drama':7 'feminist':18 'forev':2 'must':15 'pack':6 'rocki':22
20;Amelie Hellfighters;A Boring Drama of a Woman And a Squirrel who must Conquer a Student in A Baloon;2006;1;4;4.99;79;23.99;R;2013-05-26 14:50:58.951;"{Commentaries,""Deleted Scenes"",""Behind the Scenes""}";'ameli':1 'baloon':19 'bore':4 'conquer':14 'drama':5 'hellfight':2 'must':13 'squirrel':11 'student':16 'woman':8
21;American Circus;A Insightful Drama of a Girl And a Astronaut who must Face a Database Administrator in A Shark Tank;2006;1;3;4.99;129;17.99;R;2013-05-26 14:50:58.951;"{Commentaries,""Behind the Scenes""}";'administr':17 'american':1 'astronaut':11 'circus':2 'databas':16 'drama':5 'face':14 'girl':8 'insight':4 'must':13 'shark':20 'tank':21
